product_id,title,category,color,material,rating,descriptions,image_url
1,empire midi dress,casual,blue,polyester,4,"v-neck short regular sleeves, has gathered or pleated details, midi length in flared hem, woven, polyester fabric",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1hIW9STeP6RSOYt8bVC8kVwo8Nlq03-eBKQ&s
2,maxi dress,casual,blue,polyester,4.7,"solid maxi dress, round neck, short, no sleeves, maxi length in straight hem",https://cdn.aboutstatic.com/file/images/c55b4cdec5fa83f860706d71fbd86814.jpg?quality=75&height=480&width=360
3,empire puff sleeve dress,casual,off-white,cotton,4.4,"off white floral embroidered empire dress, v-neck, short, puff sleeve, gathered or pleated detail, above knee length in flared hem, cotton fabric","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/2025/FEBRUARY/20/pH2YTqqh_90b907bc32b3409e874fbca0b02cf194.jpg"
4,smocked fit and flare midi dress,casual,black,polyester,5,"black solid fit and flare dress, shoulder straps, sleeveless, midi length in flared hem","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/2025/APRIL/21/3x9g6IAo_064225169e944b4ca65f28014b22dc99.jpg"
5,bodycon midi dress,evening wear,pink,viscos rayon,3.8,"pink solid bodycon dress, off-shoulder, short, puff sleeve, midi length in flared hem, zip closure","https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/2024/SEPTEMBER/25/D1jaarKn_f98bc93cdd254e7dbe1ea076200a601b.jpg"
6,one shoulder sleeveless top,casual,black,"polyester, elastane",4.3,"regular fitted top, solid, one shoulder, sleeveless, no sleeves, knitted","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/29700252/2024/5/23/0703ccbf-8911-4b23-85bf-ea3b95da72f41716467471672TrendyolOneShoulderTop1.jpg"
7,striped square neck crop top,casual,black,"polyester, spandex",4.1,"black crop regular top, solid, square neck, long, regular sleeves, knitted",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREv6aV_RIEkEZg373G_iI9oeXtQNh1nkotAQ&s
8,slim collar formal shirt,formal,green,"cotton, polyester",3.9,"green solid opaque formal shirt, has a slim collar, button placket, long regular sleeves, curved hem",https://assets.ajio.com/medias/sys_master/root/20240307/zael/65e9dfde16fd2c6e6a43a436/allen-solly-green-classic-women-regular-fit-shirt.jpg
9,wome cotton formal shirt,formal,beige,cotton,4.3,"beige opaque formal shirt for women, mandarin collar, button placket, short, puff sleeves, curved hemline","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/2025/JANUARY/2/J7SHy4lq_bec62b20cbc74ce998e8e59194069246.jpg"
10,sleeveless formal waistcoat,formal,black,polyester,3.4,"black solid regular-fit woven waistcoat, has a v-neck, sleeveless ,a full buttoned placket, two pockets","https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/2025/MARCH/25/FfmD5pl5_325df4f68aa0452c806a0be5098fb8f9.jpg"
