title,category,color,material,rating,description
Slim Fit Blazer,Formal,Navy,Cotton,4.6,Stylish modern blazer for professionals.
Floral Midi Dress,Dress,Red,Polyester,4.3,Elegant floral dress perfect for summer outings.
Denim Jacket,Casual,Blue,Denim,4.7,Classic denim jacket with a relaxed fit.
Silk Scarf,Accessories,Green,Silk,4.2,Luxurious silk scarf to elevate any outfit.
Leather Ankle Boots,Footwear,Black,Leather,4.8,Sleek leather boots for a chic look.
Cotton T-Shirt,Casual,White,Cotton,4.5,Comfortable white tee for everyday wear.
Wool Coat,Formal,Grey,Wool,4.9,Warm wool coat for winter elegance.
Linen Shirt,Casual,Beige,Linen,4.4,Breathable linen shirt for hot days.
Suede Loafers,Footwear,Brown,Suede,4.7,Soft suede loafers for a polished look.
Chiffon Blouse,Formal,Pink,Chiffon,4.3,Lightweight chiffon blouse for formal events.
Knit Sweater,Casual,Red,Wool,4.6,Cozy knit sweater for chilly days.
Silk Tie,Accessories,Blue,Silk,4.5,Classic silk tie for a professional look.
Denim Shorts,Casual,Blue,Denim,4.4,Casual denim shorts for summer vibes.
Leather Belt,Accessories,Black,Leather,4.8,Durable leather belt for any outfit.
Cotton Dress,Dress,Yellow,Cotton,4.6,Sunny yellow dress for casual outings.
Wool Scarf,Accessories,Grey,Wool,4.7,Warm wool scarf for winter style.
Linen Pants,Casual,White,Linen,4.5,Light linen pants for a relaxed look.
Suede Jacket,Casual,Tan,Suede,4.9,Stylish suede jacket for cool evenings.
Chiffon Skirt,Casual,Green,Chiffon,4.3,Flowy chiffon skirt for a feminine touch.
Knit Cardigan,Casual,Blue,Wool,4.6,Soft knit cardigan for layering.
Silk Blouse,Formal,White,Silk,4.8,Elegant silk blouse for office wear.
Denim Jeans,Casual,Black,Denim,4.7,Slim-fit black jeans for everyday style.
Leather Sandals,Footwear,Brown,Leather,4.5,Comfortable leather sandals for summer.
Cotton Polo,Casual,Navy,Cotton,4.6,Classic navy polo for casual days.
Wool Hat,Accessories,Black,Wool,4.4,Warm wool hat for winter fashion.
Linen Dress,Dress,Blue,Linen,4.7,Breathable linen dress for summer elegance.
Suede Sneakers,Footwear,Grey,Suede,4.6,Stylish suede sneakers for casual outings.
Chiffon Top,Casual,Purple,Chiffon,4.3,Light chiffon top for a breezy look.
Knit Beanie,Accessories,Red,Wool,4.5,Cozy knit beanie for cold days.
Silk Pajamas,Sleepwear,Pink,Silk,4.8,Luxurious silk pajamas for a good night's sleep.
Denim Shirt,Casual,Blue,Denim,4.6,Versatile denim shirt for casual wear.
Leather Gloves,Accessories,Black,Leather,4.7,Warm leather gloves for winter.
Cotton Skirt,Casual,White,Cotton,4.5,Simple cotton skirt for everyday style.
Wool Sweater,Formal,Navy,Wool,4.8,Classic wool sweater for formal occasions.
Linen Blazer,Formal,Beige,Linen,4.6,Light linen blazer for summer events.
Suede Bag,Accessories,Tan,Suede,4.7,Stylish suede bag for daily use.
Chiffon Dress,Dress,Black,Chiffon,4.4,Elegant black chiffon dress for parties.
Knit Socks,Accessories,Grey,Wool,4.5,Warm knit socks for cozy evenings.
Silk Shirt,Formal,Green,Silk,4.8,Glossy silk shirt for formal settings.
Denim Overalls,Casual,Blue,Denim,4.6,Fun denim overalls for a playful look.
Leather Wallet,Accessories,Brown,Leather,4.7,Durable leather wallet for everyday use.
Cotton Hoodie,Casual,Grey,Cotton,4.5,Comfy cotton hoodie for casual days.
Wool Mittens,Accessories,Red,Wool,4.6,Warm wool mittens for winter.
Linen Shorts,Casual,White,Linen,4.4,Light linen shorts for summer comfort.
Suede Boots,Footwear,Black,Suede,4.8,Chic suede boots for a stylish look.
Chiffon Scarf,Accessories,Yellow,Chiffon,4.3,Flowy chiffon scarf to brighten your outfit.
Knit Vest,Casual,Blue,Wool,4.6,Cozy knit vest for layering.
Silk Robe,Sleepwear,White,Silk,4.9,Luxurious silk robe for lounging.
Denim Cap,Accessories,Blue,Denim,4.5,Casual denim cap for sunny days.
Leather Jacket,Casual,Black,Leather,4.8,Timeless leather jacket for a bold look.
Cotton Tank Top,Casual,Pink,Cotton,4.4,Light cotton tank top for hot days.
