text_input,intent
Please generate tell me a joke about python.,unclassified
What does an asymmetrical satin gown look like,design_recommendation
What is the optimal price for the new denim jacket?,pricing_optimization
"Hi, show me a design sketch for a new t-shirt line.",design_recommendation
Please generate i need a mix and match for my date night.,outfit_recommendation
Compare hemp vs organic cotton for eco-score,fabric_selection
Please generate i need sustainable fabric suggestions for a t-shirt.,fabric_selection
Show me a design sketch for a new t-shirt line.,design_recommendation
Find me a business casual look for the office.,outfit_recommendation
"Create a Y2K denim skirt for Asia, eco-friendly.",design_recommendation
I need help with my Flask server deployment.,unclassified
I need help with my Flask server deployment.,unclassified
Please generate what materials are available for a product launch in eu?,fabric_selection
Analyze competitor pricing for my sneakers.,pricing_optimization
Tell me a joke about Python,unclassified
Generate a pattern for a casual shirt.,design_recommendation
What does an asymmetrical satin gown look like.,design_recommendation
Can you help me: can you run a database migration for me?,unclassified
Please generate should i adjust the price based on demand trend,pricing_optimization
I have a question: analyze competitor pricing for my sneakers.,pricing_optimization
Show me 5 outfits for a party that match my profile.,outfit_recommendation
Analyze competitor pricing for my sneakers.,pricing_optimization
I want to do this: what is the capital of france?,unclassified
Can you run a database migration for me,unclassified
Give me the ESG score for polyester.,fabric_selection
What should I wear for a night out in Paris?,outfit_recommendation
Suggest a new outfit for a summer wedding guest.,outfit_recommendation
"Create a Y2K denim skirt for Asia, eco-friendly.",design_recommendation
What is the optimal price for the new denim jacket?,pricing_optimization
Give me the ESG score for polyester.,fabric_selection
Find a low-carbon material for a winter coat.,fabric_selection
How does JWT authentication work?,unclassified
Should I adjust the price based on demand trend?,pricing_optimization
Generate a dynamic price recommendation for product P103.,pricing_optimization
Show me 5 outfits for a party that match my profile.,outfit_recommendation
Give me styling advice for my black denim jacket.,outfit_recommendation
Should I adjust the price based on demand trend!,pricing_optimization
I want to do this: what materials are available for a product launch in eu?,fabric_selection
Can you help me: i need a visual prototype for a summer pastel dress.,design_recommendation
What should I wear for a night out in Paris?,outfit_recommendation
What does an asymmetrical satin gown look like?,design_recommendation
Please generate show me 5 outfits for a party that match my profile,outfit_recommendation
Please generate i need sustainable fabric suggestions for a t-shirt.,fabric_selection
Mix & match my items for a relaxed weekend.,outfit_recommendation
What does an asymmetrical satin gown look like?,design_recommendation
What materials are available for a product launch in EU.,fabric_selection
Suggest greener alternatives to use in my new design!,fabric_selection
Show me 5 outfits for a party that match my profile.,outfit_recommendation
"Hey AI, suggest greener alternatives to use in my new design.",fabric_selection
I need sustainable fabric suggestions for a t-shirt.,fabric_selection
Can you help me: should i adjust the price based on demand trend?,pricing_optimization
Generate a dynamic price recommendation for product P103.,pricing_optimization
"Hi, create a y2k denim skirt for asia, eco-friendly.",design_recommendation
Find me a business casual look for the office.,outfit_recommendation
"Hey AI, tell me a joke about python.",unclassified
"Hey AI, what bundle should i offer with the boots and jacket",pricing_optimization
Generate a dynamic price recommendation for product P103.,pricing_optimization
Summarize the news headlines.,unclassified
Predict the sales lift from a 15% discount!,pricing_optimization
Generate a dynamic price recommendation for product P103,pricing_optimization
Show me 5 outfits for a party that match my profile!,outfit_recommendation
Predict the sales lift from a 15% discount.,pricing_optimization
What's the weather like today?,unclassified
I have a question: i need sustainable fabric suggestions for a t-shirt.,fabric_selection
What is the optimal price for the new denim jacket.,pricing_optimization
What does an asymmetrical satin gown look like?,design_recommendation
Summarize the news headlines.,unclassified
What's the weather like today!,unclassified
Give me styling advice for my black denim jacket.,outfit_recommendation
I need a visual prototype for a summer pastel dress.,design_recommendation
I want to do this: find me a business casual look for the office.,outfit_recommendation
I want to do this: tell me a joke about python.,unclassified
Compare hemp vs organic cotton for eco-score.,fabric_selection
Please generate what does an asymmetrical satin gown look like?,design_recommendation
"Hi, i need a mix and match for my date night.",outfit_recommendation
Analyze competitor pricing for my sneakers.,pricing_optimization
What does an asymmetrical satin gown look like?,design_recommendation
What materials are available for a product launch in EU?,fabric_selection
Tell me a joke about Python.,unclassified
Please generate generate a streetwear hoodie with neon highlights.,design_recommendation
Can you help me: what materials are available for a product launch in eu?,fabric_selection
What is the capital of France?,unclassified
What's the weather like today?,unclassified
I have a question: should i adjust the price based on demand trend?,pricing_optimization
I have a question: can you run a database migration for me?,unclassified
What materials are available for a product launch in EU.,fabric_selection
Find me a business casual look for the office.,outfit_recommendation
What should I wear for a night out in Paris?,outfit_recommendation
Summarize the news headlines.,unclassified
Analyze competitor pricing for my sneakers.,pricing_optimization
I have a question: what materials are available for a product launch in eu?,fabric_selection
What bundle should I offer with the boots and jacket?,pricing_optimization
Design a modest outfit for the Middle East market.,design_recommendation
Can you run a database migration for me?,unclassified
I want to do this: give me the esg score for polyester.,fabric_selection
Can you help me: find me a business casual look for the office.,outfit_recommendation
Compare hemp vs organic cotton for eco-score!,fabric_selection
Please generate analyze competitor pricing for my sneakers.,pricing_optimization
What does an asymmetrical satin gown look like?,design_recommendation
Generate a streetwear hoodie with neon highlights.,design_recommendation
Show me a design sketch for a new t-shirt line.,design_recommendation
Predict the sales lift from a 15% discount!,pricing_optimization
Tell me a joke about Python.,unclassified
Can you run a database migration for me?,unclassified
Analyze competitor pricing for my sneakers.,pricing_optimization
"Create a Y2K denim skirt for Asia, eco-friendly.",design_recommendation
I have a question: what is the optimal price for the new denim jacket?,pricing_optimization
Suggest a new outfit for a summer wedding guest.,outfit_recommendation
What is the capital of France?,unclassified
Analyze competitor pricing for my sneakers.,pricing_optimization
Compare hemp vs organic cotton for eco-score.,fabric_selection
Suggest a new outfit for a summer wedding guest.,outfit_recommendation
Can you help me: show me 5 outfits for a party that match my profile.,outfit_recommendation
Can you help me: predict the sales lift from a 15% discount!,pricing_optimization
"Create a Y2K denim skirt for Asia, eco-friendly.",design_recommendation
Can you help me: what does an asymmetrical satin gown look like?,design_recommendation
What should I wear for a night out in Paris!,outfit_recommendation
"Hey AI, what does an asymmetrical satin gown look like?",design_recommendation
Analyze competitor pricing for my sneakers.,pricing_optimization
"Hey AI, what's the weather like today?",unclassified
"Hey AI, show me a design sketch for a new t-shirt line",design_recommendation
Please generate compare hemp vs organic cotton for eco-score.,fabric_selection
Should I adjust the price based on demand trend?,pricing_optimization
Give me styling advice for my black denim jacket,outfit_recommendation
How does JWT authentication work?,unclassified
Show me a design sketch for a new t-shirt line.,design_recommendation
I want to do this: give me styling advice for my black denim jacket.,outfit_recommendation
Find a low-carbon material for a winter coat.,fabric_selection
Please generate suggest a new outfit for a summer wedding guest.,outfit_recommendation
"Hey AI, i need help with my flask server deployment.",unclassified
I need sustainable fabric suggestions for a t-shirt!,fabric_selection
Summarize the news headlines.,unclassified
Suggest a new outfit for a summer wedding guest.,outfit_recommendation
What is the optimal price for the new denim jacket?,pricing_optimization
Please generate i need a visual prototype for a summer pastel dress!,design_recommendation
Design a modest outfit for the Middle East market.,design_recommendation
Can you run a database migration for me?,unclassified
I want to do this: what bundle should i offer with the boots and jacket?,pricing_optimization
What does an asymmetrical satin gown look like?,design_recommendation
Give me the ESG score for polyester.,fabric_selection
What is the optimal price for the new denim jacket?,pricing_optimization
Compare hemp vs organic cotton for eco-score.,fabric_selection
Give me the ESG score for polyester.,fabric_selection
Can you help me: i need a mix and match for my date night.,outfit_recommendation
Give me styling advice for my black denim jacket!,outfit_recommendation
Please generate tell me a joke about python!,unclassified
Can you help me: find me a business casual look for the office.,outfit_recommendation
Summarize the news headlines.,unclassified
What materials are available for a product launch in EU?,fabric_selection
I need a mix and match for my date night,outfit_recommendation
I have a question: compare hemp vs organic cotton for eco-score.,fabric_selection
Please generate give me styling advice for my black denim jacket.,outfit_recommendation
"Hi, should i adjust the price based on demand trend?",pricing_optimization
Generate a dynamic price recommendation for product P103,pricing_optimization
What's the weather like today?,unclassified
Suggest a new outfit for a summer wedding guest.,outfit_recommendation
Generate a streetwear hoodie with neon highlights.,design_recommendation
Predict the sales lift from a 15% discount.,pricing_optimization
I need a mix and match for my date night.,outfit_recommendation
Analyze competitor pricing for my sneakers.,pricing_optimization
What's the weather like today!,unclassified
"Hi, tell me a joke about python.",unclassified
"Create a Y2K denim skirt for Asia, eco-friendly.",design_recommendation
I want to do this: show me a design sketch for a new t-shirt line.,design_recommendation
I need sustainable fabric suggestions for a t-shirt,fabric_selection
I need sustainable fabric suggestions for a t-shirt.,fabric_selection
Suggest a new outfit for a summer wedding guest.,outfit_recommendation
What is the capital of France?,unclassified
I need a visual prototype for a summer pastel dress.,design_recommendation
"Hi, should i adjust the price based on demand trend?",pricing_optimization
How does JWT authentication work?,unclassified
Compare hemp vs organic cotton for eco-score.,fabric_selection
What bundle should I offer with the boots and jacket?,pricing_optimization
Give me the ESG score for polyester.,fabric_selection
Should I adjust the price based on demand trend?,pricing_optimization
Give me the ESG score for polyester.,fabric_selection
Can you help me: analyze competitor pricing for my sneakers.,pricing_optimization
Show me 5 outfits for a party that match my profile!,outfit_recommendation
Show me a design sketch for a new t-shirt line.,design_recommendation
Compare hemp vs organic cotton for eco-score.,fabric_selection
Suggest a new outfit for a summer wedding guest.,outfit_recommendation
Find me a business casual look for the office.,outfit_recommendation
I want to do this: what's the weather like today?,unclassified
Show me 5 outfits for a party that match my profile.,outfit_recommendation
Suggest greener alternatives to use in my new design.,fabric_selection
What bundle should I offer with the boots and jacket,pricing_optimization
Give me styling advice for my black denim jacket.,outfit_recommendation
Analyze competitor pricing for my sneakers.,pricing_optimization
Please generate what bundle should i offer with the boots and jacket?,pricing_optimization
What materials are available for a product launch in EU?,fabric_selection
Predict the sales lift from a 15% discount.,pricing_optimization
Should I adjust the price based on demand trend?,pricing_optimization
I have a question: summarize the news headlines.,unclassified
Compare hemp vs organic cotton for eco-score.,fabric_selection
Suggest greener alternatives to use in my new design!,fabric_selection
What bundle should I offer with the boots and jacket?,pricing_optimization
Should I adjust the price based on demand trend?,pricing_optimization
How does JWT authentication work!,unclassified
Can you help me: summarize the news headlines.,unclassified
Please generate i need help with my flask server deployment.,unclassified
Can you help me: what should i wear for a night out in paris?,outfit_recommendation
I need a visual prototype for a summer pastel dress,design_recommendation
Please generate analyze competitor pricing for my sneakers.,pricing_optimization
I need help with my Flask server deployment.,unclassified
I need a visual prototype for a summer pastel dress.,design_recommendation
What materials are available for a product launch in EU?,fabric_selection
Suggest greener alternatives to use in my new design.,fabric_selection
Generate a streetwear hoodie with neon highlights.,design_recommendation
I need a mix and match for my date night.,outfit_recommendation
Please generate can you run a database migration for me?,unclassified
What does an asymmetrical satin gown look like?,design_recommendation
What bundle should I offer with the boots and jacket?,pricing_optimization
Analyze competitor pricing for my sneakers,pricing_optimization
What's the weather like today,unclassified
Generate a dynamic price recommendation for product P103.,pricing_optimization
Suggest a new outfit for a summer wedding guest.,outfit_recommendation
"Hey AI, suggest greener alternatives to use in my new design.",fabric_selection
Analyze competitor pricing for my sneakers.,pricing_optimization
What materials are available for a product launch in EU?,fabric_selection
Design a modest outfit for the Middle East market.,design_recommendation
I want to do this: generate a streetwear hoodie with neon highlights.,design_recommendation
What's the weather like today?,unclassified
Give me the ESG score for polyester.,fabric_selection
Predict the sales lift from a 15% discount.,pricing_optimization
Find me a business casual look for the office.,outfit_recommendation
Should I adjust the price based on demand trend?,pricing_optimization
"Create a Y2K denim skirt for Asia, eco-friendly",design_recommendation
I need sustainable fabric suggestions for a t-shirt.,fabric_selection
I have a question: show me a design sketch for a new t-shirt line,design_recommendation
Suggest a new outfit for a summer wedding guest.,outfit_recommendation
Generate a streetwear hoodie with neon highlights.,design_recommendation
I have a question: compare hemp vs organic cotton for eco-score.,fabric_selection
I need a mix and match for my date night.,outfit_recommendation
"Hi, find me a business casual look for the office!",outfit_recommendation
Design a modest outfit for the Middle East market.,design_recommendation
Can you run a database migration for me?,unclassified
What's the weather like today?,unclassified
Can you help me: tell me a joke about python.,unclassified
What is the optimal price for the new denim jacket!,pricing_optimization
"Hi, what's the weather like today?",unclassified
"Hey AI, generate a pattern for a casual shirt.",design_recommendation
Generate a dynamic price recommendation for product P103.,pricing_optimization
I want to do this: i need sustainable fabric suggestions for a t-shirt.,fabric_selection
Predict the sales lift from a 15% discount.,pricing_optimization
I need sustainable fabric suggestions for a t-shirt.,fabric_selection
Give me styling advice for my black denim jacket.,outfit_recommendation
"Create a Y2K denim skirt for Asia, eco-friendly.",design_recommendation
Suggest greener alternatives to use in my new design,fabric_selection
Can you help me: predict the sales lift from a 15% discount.,pricing_optimization
"Create a Y2K denim skirt for Asia, eco-friendly.",design_recommendation
Generate a pattern for a casual shirt.,design_recommendation
"Hi, give me the esg score for polyester.",fabric_selection
What does an asymmetrical satin gown look like?,design_recommendation
What's the weather like today.,unclassified
"Hey AI, find me a business casual look for the office.",outfit_recommendation
Summarize the news headlines,unclassified
I need sustainable fabric suggestions for a t-shirt.,fabric_selection
Show me 5 outfits for a party that match my profile.,outfit_recommendation
Should I adjust the price based on demand trend.,pricing_optimization
What's the weather like today?,unclassified
"Hey AI, generate a streetwear hoodie with neon highlights!",design_recommendation
I have a question: find me a business casual look for the office.,outfit_recommendation
"Create a Y2K denim skirt for Asia, eco-friendly.",design_recommendation
Give me the ESG score for polyester!,fabric_selection
I need sustainable fabric suggestions for a t-shirt.,fabric_selection
Generate a streetwear hoodie with neon highlights,design_recommendation
